timestamp,temp_zone_1,temp_zone_2,temp_zone_3,temp_zone_4,feed_rate,rotation_speed,pressure_1,pressure_2,pressure_3,gas_consumption,o2_flue,co_flue,raw_humidity,temp_flue,vibration,drive_load
2023-01-01 00:00:00,1173.758,1192.339,1221.756,1170.445,83.194,3.471,-47.74,-47.601,-39.935,1528.268,3.521,0.843,11.251,352.682,2.407,62.015
2023-01-01 00:05:00,1213.184,1199.664,1218.08,1179.806,89.126,3.485,-38.32,-39.23,-51.008,1507.862,3.624,0.815,12.322,342.933,2.366,61.905
2023-01-01 00:10:00,1206.988,1181.609,1204.236,1197.153,86.397,3.63,-29.51,-39.176,-44.669,1499.75,3.729,0.888,12.121,349.559,2.056,67.651
2023-01-01 00:15:00,1200.276,1207.023,1208.998,1162.798,83.943,3.524,-42.825,-43.175,-48.486,1413.006,3.262,0.933,12.19,345.004,1.581,58.965
2023-01-01 00:20:00,1195.674,1216.508,1216.234,1160.23,87.858,3.43,-38.393,-52.481,-56.357,1563.768,3.891,0.955,12.734,340.184,1.742,58.92
2023-01-01 00:25:00,1206.587,1192.432,1209.009,1160.349,91.608,3.575,-40.946,-40.722,-49.209,1484.78,3.408,0.849,12.297,337.486,1.687,70.425
2023-01-01 00:30:00,1191.165,1158.839,1163.683,1170.756,81.908,3.58,-40.469,-36.96,-54.381,1444.207,3.925,0.908,12.281,351.804,2.788,61.066
2023-01-01 00:35:00,1186.263,1222.115,1229.099,1176.085,85.481,3.465,-37.575,-38.342,-52.591,1664.991,3.512,1.021,12.096,378.849,2.546,58.078
2023-01-01 00:40:00,1217.115,1166.218,1220.398,1171.321,78.683,3.415,-33.266,-51.413,-45.235,1568.999,3.454,0.898,11.646,357.848,1.725,63.894
2023-01-01 00:45:00,1212.82,1219.723,1221.657,1187.084,82.83,3.536,-43.029,-35.737,-53.402,1619.947,3.278,0.962,13.015,373.256,1.504,62.872
2023-01-01 00:50:00,1185.638,1225.804,1187.144,1209.397,84.919,3.445,-41.903,-42.681,-48.459,1644.896,3.346,0.915,12.523,365.503,1.893,71.083
2023-01-01 00:55:00,1198.427,1181.536,1251.818,1193.556,79.228,3.616,-42.88,-43.035,-48.1,1494.335,3.869,0.857,12.511,342.943,2.58,66.421
2023-01-01 01:00:00,1215.65,1194.483,1204.859,1198.392,90.414,3.624,-41.669,-45.424,-44.202,1412.393,3.605,0.885,11.188,358.488,1.888,72.959
2023-01-01 01:05:00,1209.786,1177.28,1214.602,1186.657,81.955,3.475,-42.462,-47.796,-50.335,1583.309,3.815,0.879,12.181,380.421,2.079,72.068
2023-01-01 01:10:00,1216.953,1211.726,1196.67,1189.913,88.551,3.532,-46.861,-52.719,-56.221,1635.848,3.771,0.988,12.23,362.965,1.723,62.815
2023-01-01 01:15:00,1184.292,1215.282,1210.572,1181.748,83.879,3.787,-36.793,-42.395,-60.264,1623.486,3.994,0.973,11.639,367.215,2.637,60.608
2023-01-01 01:20:00,1207.179,1205.748,1219.827,1191.116,86.971,3.723,-39.436,-58.631,-51.833,1598.06,4.363,1.026,11.946,381.587,1.96,69.163
2023-01-01 01:25:00,1219.27,1207.712,1227.202,1176.359,85.628,3.564,-40.148,-40.03,-50.81,1633.795,4.132,1.039,11.786,365.506,2.276,78.249
2023-01-01 01:30:00,1181.105,1206.93,1219.973,1189.072,86.243,3.458,-46.546,-52.804,-57.727,1630.324,3.89,0.99,11.329,378.816,0.698,71.352
2023-01-01 01:35:00,1225.957,1221.01,1206.144,1220.636,84.148,3.637,-33.963,-57.89,-59.753,1635.751,3.361,1.015,12.401,378.42,2.097,71.304
2023-01-01 01:40:00,1207.892,1208.72,1248.894,1181.556,93.827,3.595,-30.622,-45.986,-59.784,1584.91,3.916,0.905,11.857,357.11,2.039,75.665
2023-01-01 01:45:00,1214.027,1199.467,1244.471,1229.267,84.036,3.781,-39.022,-46.362,-54.826,1577.046,3.956,1.073,12.131,360.856,1.014,71.368
2023-01-01 01:50:00,1188.698,1215.482,1216.939,1232.832,85.127,3.459,-40.834,-54.333,-71.21,1631.083,3.733,0.952,12.258,362.644,1.472,61.107
2023-01-01 01:55:00,1199.521,1207.352,1225.578,1199.402,86.596,3.602,-41.157,-51.297,-52.226,1617.494,3.482,0.992,12.506,384.565,3.575,69.172
2023-01-01 02:00:00,1207.314,1195.333,1227.392,1220.11,81.479,3.618,-44.73,-41.306,-57.214,1667.099,3.901,1.033,11.89,366.187,1.974,73.542
2023-01-01 02:05:00,1198.406,1209.33,1224.809,1187.917,88.165,3.473,-36.294,-53.043,-66.129,1635.056,3.742,0.949,12.654,385.235,2.251,72.491
2023-01-01 02:10:00,1223.583,1235.031,1259.098,1205.102,84.293,3.512,-32.041,-39.848,-56.002,1659.7,3.661,0.956,12.181,394.749,2.627,61.731
2023-01-01 02:15:00,1203.825,1199.217,1229.949,1227.824,90.002,3.577,-45.108,-48.255,-50.508,1687.482,3.729,0.926,12.689,374.718,1.491,76.782
2023-01-01 02:20:00,1223.806,1207.278,1211.691,1189.681,83.628,3.774,-39.804,-43.758,-65.392,1667.051,3.542,0.969,11.446,379.02,2.677,69.773
2023-01-01 02:25:00,1172.244,1207.506,1224.175,1192.254,82.986,3.758,-42.713,-53.312,-63.323,1638.319,3.829,0.971,11.564,373.159,2.011,72.561
2023-01-01 02:30:00,1223.78,1186.138,1240.35,1230.643,80.927,3.542,-37.951,-52.97,-53.21,1650.618,4.067,0.941,11.421,389.59,1.92,72.376
2023-01-01 02:35:00,1212.895,1210.788,1217.761,1192.257,86.148,3.784,-41.9,-57.532,-66.098,1715.287,4.534,1.005,12.336,396.882,2.768,76.111
2023-01-01 02:40:00,1229.357,1234.542,1234.457,1188.17,83.334,3.42,-44.373,-52.031,-63.342,1620.856,4.204,0.982,12.677,382.038,2.06,65.956
2023-01-01 02:45:00,1265.155,1217.312,1261.696,1172.735,84.277,3.688,-46.704,-51.981,-62.363,1664.034,3.983,1.067,11.72,367.642,1.549,77.05
2023-01-01 02:50:00,1243.988,1221.278,1225.448,1210.629,88.388,3.622,-47.938,-51.461,-57.925,1659.861,3.967,1.105,12.691,357.907,2.604,74.095
2023-01-01 02:55:00,1211.154,1212.196,1255.204,1218.176,85.813,3.527,-44.658,-50.583,-60.77,1715.307,4.022,1.111,11.924,386.793,1.553,71.982
2023-01-01 03:00:00,1215.382,1236.229,1226.705,1206.155,84.967,3.566,-34.624,-58.858,-61.151,1659.117,4.597,0.972,11.874,387.261,1.958,72.515
2023-01-01 03:05:00,1211.287,1209.08,1236.731,1212.846,81.921,3.803,-42.443,-49.408,-57.045,1650.539,3.774,1.039,13.307,372.096,2.236,73.641
2023-01-01 03:10:00,1223.309,1229.751,1235.34,1236.295,85.499,3.698,-31.467,-52.74,-57.275,1692.613,3.233,1.086,11.89,381.945,1.238,85.744
2023-01-01 03:15:00,1242.187,1205.98,1249.708,1212.314,82.892,3.635,-42.261,-54.606,-57.922,1692.965,4.105,0.973,11.981,374.567,2.239,68.093
2023-01-01 03:20:00,1209.703,1205.481,1240.574,1222.951,84.914,3.8,-43.857,-51.438,-66.16,1652.223,4.442,0.984,12.371,370.38,2.297,73.441
2023-01-01 03:25:00,1248.41,1244.183,1220.521,1216.416,82.959,3.592,-49.915,-58.229,-54.487,1651.319,3.727,1.058,11.737,382.516,1.264,76.06
2023-01-01 03:30:00,1246.077,1210.277,1250.354,1240.076,87.248,3.784,-45.127,-61.594,-58.587,1805.006,3.862,1.027,12.519,400.035,1.496,77.407
2023-01-01 03:35:00,1240.506,1200.638,1240.93,1237.058,85.657,3.536,-43.569,-52.242,-52.344,1739.889,3.728,1.006,11.891,389.245,2.207,78.993
2023-01-01 03:40:00,1244.332,1235.105,1231.359,1212.006,82.752,3.598,-46.737,-60.046,-62.967,1811.276,4.597,1.251,13.09,383.757,2.154,78.124
2023-01-01 03:45:00,1219.673,1211.11,1262.804,1232.776,90.385,3.618,-49.054,-55.415,-56.013,1715.515,3.808,1.122,12.172,391.969,2.417,77.961
2023-01-01 03:50:00,1250.837,1212.942,1244.761,1190.652,87.929,3.661,-55.206,-57.229,-67.62,1810.273,4.822,1.058,12.457,389.839,2.176,75.274
2023-01-01 03:55:00,1229.266,1227.23,1251.586,1211.231,85.893,3.731,-53.865,-53.51,-63.173,1770.235,3.879,0.993,12.579,393.579,1.916,73.949
2023-01-01 04:00:00,1204.357,1228.551,1251.878,1238.251,89.222,3.76,-46.452,-59.655,-63.839,1796.669,4.421,1.221,11.488,410.059,1.944,91.415
